CIREX BV,7600 AB Almelo,www.cirex.nl
Eurotech Group BV,5928 PA Venlo-Blerick,-
Geraedts IJzergieterij BV,5990 AA Baarlo,www.geraedtsijzergieterij.nl
Gieterij Doesburg BV,6980 AA Doesburg,-
Gieterij Neede BV,7160 AA Neede,www.ebbersgroupindustries.nl
Lovink Technocast BV,7060 AA Terborg,www.lovink.com
Nannoka Vulcanus Industries BV,7000 AA Doetinchem,www.vulcanus.com
Nefit Industrial BV,7400 AA Deventer,-
Nijmeegsche IJzergieterij BV,6500 AP Nijmegen,www.nijg.com
Rademakers Gieterij BV,7890 AA Klazienaveen,www.rademakersgieterij.com
Sanders Gears Castings Machining BV,7471 EW Goor,www.sanders.biz
Van Voorden Gieterijen BV,5301 LZ Zaltbommel,www.vanvoordenfoundry.nl
VDL Castings BV,"Heerlen: De Koumen 2, 6433 KD Hoensbroek",www.vdlcastingsweert.nl
"
<div align=""left""",</div,-
