AAE,5705 DG 
Addit,5928 PP
Alligator Plastics B.V.,5692 HP
Amecha,5705 CV
Axxicon,5692 HN
Bakker Fijnmetaal,5692 AH
Batenburg Techniek B.V.,3079 DN
Beltech,5657 EE
Bestronics,5503 LT 
Betech Group B.V.,7903 TM
BKB Precision,5692 EG
BKL Engineering,5674 VM 
BLW Kunststoffen,5674 TL
BOA Nederland B.V.,5026 SK
Brabant Engineering,5684 PH 
Bronkhorst High-Tech B.V.,7261 AK 
Brooks Instrument BV,3902 HN
Cadac Group,6419 DJ
Ceratec Technical Ceramics,4191 NZ 
CNC-Consult & Automation B.V.,5221 CK 
Contour Group B.V.,7102 DZ 
Cortexon,5460 AA 
D&D Kunststofbewerking B.V.,5661 NG
DCD Technology B.V.,5633 AC
De Rooy Slijpcentrum / De Rooy Precision,5674 TR 
Dekracoat,5684 PL 
Demcon,7521 PH 
Driessen Las- en Plaatwerk,5521 DH 
ERIKS,1812 RL 
Euro-Techniek,5503 LL 
Faes Group,5541 RA 
Festa Solutions,5617 BC 
Festo,2627 AN 
FLOS,5657 DX
FMI High Tech Solutions,4622 RD
Frencken Europe,5652 AJ
Fujitsu GLOVIA,5611 ZJ  
Gain Automation Technology,5684 PH 
GBO Group,5706 ST
Goudsmit Magnetics Group,5582 HB
Hittech Group,1911 JA 
Holland Innovative,5656 AE
HQ Pack,5652 AH 
HTR Rubber and Foam,5633 AA
Itility,5657 EW
Jeveka,1362 JL
Kerbos B.V.,5692 HL
KMWE Group,5653 LC
KMWE Toolmanagers,5653 LD
Kusters Goumans,5741 PM 
Laméco Development B.V.,5616 HS 
Lamers High Tech Systems,6545 AG
Lemmens Metaalbewerking,5571 SP
Lenze,5232 BR
LM Systems,3905 TG
LouwersHanique,5527 AH
Machinefabriek De Valk,5555 XP
MAGNETIC DOMAINS,5026 SP
Matas Electronics B.V.,5684 PH
Maxon Motor,7545 PR
MCB Group,5555 XC
Medanco B.V.,5504 DC 
Melis Gieterijen,5046 AK
Metel B.V.,5145 RJ
Mevi Group,5706 ST 
MI-Partners,5652 AM
MTA Group,5705 DN
MTN Metaaltechniek bv,5705 CA
Nebo Special Tooling B.V.,5626 DD
Neways,5692 EA
Nossin Fijnmechanische Industrie,5741 RR
Novuqare Hospital Equipment,5299 JJ
NTS-Group,5652 AM
PDM Group,6222 PH
Philips Innovation labs,5656 AE
Philips Innovation Services,5656 AE
Prokonpack Nederland B.V.,5652 AD 
Bosch Rexroth,5281 RV
Sanders Machinebouw BV,5298 VM
Settels Savenije Group of Companies,5651 GW
Simac Techniek N.V.,5503 LB 
Sioux,5633 AJ 
Sioux CCM,5674 CC 
SKF,3439 MT 
SMC Pneumatics B.V.,1011 AB
Smink Group,5462 GH 
Smits Machinefabriek,555 XP
tbp electronics,3247 CP
TEGEMA,5692 EA
TMC Group,5656 AG
TSG Group,5624 MD 
Unicorn Industrial Cleaning Solutions B.V.,5692 HB
Van der Hoorn Buigtechniek,5663 PA
van Hoof Groep,5721 VD
Van Veghel Industrial Packaging,5613 LH
VanBerlo,5651 CA
VDL  GL Precision,5652 AH
VHE Industrial Automation,5657 EN
Wijdeven Inductive Solutions,5688 HP
Wilting,5657 EH
Witec Fijnmechanische Techniek,9561 AL
YASKAWA Benelux B.V.,5692 EB  
