12Build,7442 DL
3D Geosolutions,7418 AH
Aannemersbedrijf Van Agtmaal BV,4731 CW
ABB B.V.,3068 AX
ABN AMRO,1082 PP
Acquire,8025 BC
Actis,11 300
Air@work,3447 GN
AirconAir BV,4793 HN
Alba Concepts - CONTENTPARTNER,5246 AK
Asona Benelux,1422 ZB
Atech Energy,9521 JA
Autarco,5611 BD
Balqoon®,6014 CG
BAM Bouw en Techniek,3981 AZ
BASF,4903 RJ
BeNext,1093 JX
Berkvens Deursystemen,5710 AA
BodemenergieNL,1222 PH
Bosch Thermotechniek,7418 BG
Bouwbedrijf GJ van der Hulst,2161 DS
BouwGezond,7025 DG
Branchevereniging Nederlandse Architecten  / BNA,1019 GW
Brickyard parkeeroplossingen,1114 AD
BSI Group The Netherlands B.V.,1066 EP
Building Holland,6681 NB
Building Technology b.v.,7391 AC
Carlisle Construction Materials,8263 AD
Carrier Airconditioning,3500 GS
Celdex,5281 LL
Coface,4815 NG
Colt International BV,5433 NE
Compofloor,1771 SP
Conntech B.V.,6662 NE
Coolmark B.V.,2991 LH
Daloc Nederland,2408 AV
De Atlas Leefomgeving,3721 MA
De Groot & Visser bv,4207 HH
De Vries en Verburg B.V.,2821 LH
DE WIT ventilatoren,3821 AP
Degree-n,1217 JC
Dekker Hout,2544 EH
Dekker Zevenhuizen B.V.,2760 AA
Devisubox,13003
digitalSTROM,
Draka,2627 AN
Dura Vermeer Divisie Bouw & Vastgoed B.V.,3991 SX
Dutch Cabin Group,4791 RV
Dutch Climate Systems,7942 JR
Dutch Solar Field B.V.,7773 NG
Duurzaam Gebouwd,6881 AA
DWH groep Duurzaam Wonen Holland,1607 MJ
Eco Boardcompany International b.v.,8071 CV
EcoChain Technologies,1018 LL
Elbo Technology BV,5692 EP
Epea Nederland,5612 LX
Euro Manchetten & Compensatoren,5171 PM
Factory Zero,4004 JA
fermacell,6606 KG
Ferroli Nederland,4817 BL
Fetim Group,1047 BP
Finder Relais Nederland,1521 NC
Finti B.V.,7622 BJ
FläktGroup Netherlands B.V.,2909 LL
Forehand Network Components & Devices,3084 CB
Fortes Energy Systems,3991 CJ
Freyssinet,4751 XC
Geberit,3439 NE
GeoClimate,5324 CG
Gevelscan,4811 AR
GEZE Benelux B.V,5626 DK
Grohe Nederland,2718 SW
Grundfos Nederland B.V.,1327 AE
Gyproc Saint-Gobain,4131 NH
Hamwells Europe BV,3144 DG
Hanergy,1077 XV
Hectar Funderingstechniek BV,7461 AG
"Heliartec Solutions Co., Ltd.",302
Hemmink,8013 PV
Henco,B-2200
Hermans Techniglaz,2661 DG
HG Industrial,5963 AC
HG Ulfima,5963 AC
HTC Parking & Security,2742 KL
HumbleBuildings,3584 BB
Hydreco B.V.,4817 ZN
Icopal,9744 TC
Imbema,2011 VN
INSERT,3905 KZ
Intercool Technics B.V.,3335 LS
Inventum,3991 CS
Isovision,1333 MV
Itho Daalderop,3115 HB
Jaga Nederland,5221 EA
Kieback & Peter,8071 RC
Klimaatexpert B.V,7320 AH
Koopman Interlight,3961 MV
KWS,4131 NJ
Letink Design,7468 CJ
Lightronics B.V.,5145 NE
Loostad,
Madaster,3584 BH
Mark Climate Technology,9645 BM
Marmors LTD,LV-2127
Mawipex,8411 PB
Mega Elektra Groep Amsterdam B.V.,1033 RX
Mitsubishi Elevator Europe BV,3900 TD
MK Doors,3194 AR
MultiBouwSystemen BV,3760 AC
Neptunus Structures,5995 MA
NeVap - Kennispartner,3511 DZ
Nexans,3112 NC
NIBE Energietechniek,4906 CG
Nieman Raadgevende Ingenieurs,3542 AB
NIKO Nederland,8171 ME
NMC,B - 4731
Norton,3417 XS
Olbecon betonconstructies,7241 MA
One Smart Control,B-2530
Oosterberg B.V.,7202 BX
Openr B.V.,3025 HC
Orange Climate,5151 DL
OSH B.V.,5301 LW
PEHA Elektro BV,6827 BK
"Pipelife, Preflex",1601 MA
Planting Power,7602 RG
PLEKvoor,3707 JX
Pluimers isolatie,7461 AB
Polynor,LT-05120
Progress Energy Monitoring,1404 BC
Radiair Totaalinstallatie,3411 MJ
Reflex,2991 ZA
Rehau Windows & Rehau Furniture,3861 MA
Repromat BV,3454 PS
Rijkswaterstaat Ministerie van Infrastructuur en Waterstaat,2288 GK
Saund Group BV,1217 AS
Schellekens & Schellekens B.V.,6641 TL
Schneider Electric,2132 LS
Schutte bouw en ontwikkeling,8041 BK
Sika Belgium NV,9810
Simcas,2514 AL
SKELLET BV,3905 KV
Solar Nederland,1812 RL
Solarclarity BV,1382 JK
Soprema,8650 AA
SPARQ Balustrades,8447 SN
Sphinx,3439 NE
St Middelkoop & Zn bv,4197 HA
Stansz,9206 BB
STULZ Groep B.V.,1185 ZE
Sylvania,2030
T3 Building Solutions Ltd.,PH7 4AX
Technische Unie,1185 XE
Tema Techniek,6915 AC
Timmerfabriek Gebr. Bos BV,
Tonzon BV,7547 RD
TransVORM BV,3351 HC
Trespa International BV,6002 SM
Ucare4 Software,7553 AE
Uretek Benelux,8243 PE
Vaillant en AWB,1105 BJ
Vandersanden BV,NL-5256 TC
Vialis,3991 CJ
Viessmann,2908 LN
Vilton,8239 DL
Vitasys BV,1681 PG
Vlint,8239 DL
VolkerWessels,3826 PA
VolkerWessels Vastgoed bv,3439 LM
VSR Leidingrenovatie,4704 SE
Wédéflex Duurzame Daksystemen,5211 NX
WARP-Systems,2421 LS
Wolf Energiesystemen,8265 VB
WoonConnect,5211 DX
WTH,3316 BE
Xigna BV,7553 AE
Zennio,2960
Ziggo Zakelijk,2516 AC
ZON,1715 GV
