10FORIT,1948 RM
Aangetekend Mailen,3542 DP
AcceptEasy,1185 HL
Alektum Group,1014 BT
Alphacomm Outbound Solutions,3011 VH 
Altares – Dun & Bradstreet,3072 MD
Assensia,3812 RP
Atradius,1066 JS
Betalingsachterstanden.nl,2132 NB
Bierens Incasso Advocaten,5462 CD
Bos Incasso,9723 ZL
Bureau van Dijk – A Moody’s Analytics Company,1101 BA
Career Control, 3526 KT
Cash & Credit Collectors,2011 PM
Collect Online,3447 GG
Consumatrix,1014 AK
Consumatrix,1014 AK
Credit Management Instituut,2729 AV
Cwize,3439 NK
Data B. Mailservice,9351 VG
De Best & Partners,2132 JC
DigiTrage,3528 BJ
DirectPay,2993 LD
EDM,3439 ML
Eccentrade,1066 VH
EuroSystems Automatisering,3439 NK
Experian Nederland,2511 BH
FIS,E14 5LQ
Faircasso,3011 ED
Flanderijn Gerechtsdeurwaarders,3015 CC
Focum,1213 VH
Garantiefonds Gerechtsdeurwaarders,2800 AN
Graydon Incasso,1101 BV
Huurincasso Platform,1101 BV
Intrum,3824 MG
Janssen & Janssen,5627 GA
Lindorff,3824 MG
Mail to Pay,2952 CB
Onguard,1101 CJ  
Order2Cash,1114 AB
Schuldzorg,3015 CC
Snijder Incasso en Gerechtsdeurwaarders,1948 NM
Syncasso,1005 AE
TRUST.IT,1066 JR
Twikey,5126 CA 
Verbond van Credit Management Bedrijven,3542 DP 
Vereniging voor Credit Management,3542 DR
