2-S Service & Specialities	,5705CK
3Dealise	,7471EW
4C Creative CadCam Consultants	,7815XB
4Moulding - Mouldshop.NL	,5688HP
4RealSim Services BV	,3401NJ
4S Industrie BV	,7336BA
AAE BV	,5705DG
ABB b.v.	,3068AX
ACE ingenieurs- & adviesbureau	,5652XR
ACE Stoßdämpfer GmbH	,6241DJ
ADM-Mechatronics	,5629LC
Admatec Europe BV	,5066GJ
ADSE	,2132LR
Advantech	,5692ER
Aeson BV	,1271AG
AJB Instrument B.V.	,3181LR
Albis Benelux BV	,4824EH
Alligator Plastics BV	,5626DD
Alpha Techniek	,3261LS
Altran	,5652AA
Alumeco NL BV	,5347JX
Aluminium Centrum	,3439NJ
Amada Miyachi Europe B.V.	,5708HZ
Ammertech B.V.	,5705CB
AMPCO METAL s.a.	,3442AB
Analis nv	,1101CD
Anteryon BV	,5651CA
Appkuns BV	,4906CL
Aptful Electronics B.V.	,5341GT
ARBURG BV	,3543AM
Argus Imaging BV	,6416SG
Aris b.v.	,5652EL
ART Group	,5047TS
ATS EdgeIT BV - Edgecam Elite Reseller	,3161GD
AutomotiveNL 	,5708JZ
Avantes BV	,7333NS
Averna	,6836BA
AVT Industrial Components BV	,5657EE
AWL-Techniek B.V.	,3846CE
Axxicon Moulds Eindhoven BV	,5692HN
B&R; Industriële Automatisering BV	,4817BZ
B&S; Technology	,5048AV
Bakker Fijnmetaal	,5692AH
Balluff BV	,5232BC
Batenburg Bevestigingstechniek BV	,3902HN
Batenburg Mechatronica	,3079DN
Batenburg Techniek NV	,3079DN
Bato Plastics B.V.	,4762AH
Technisch Buro Bäcker BV	,1505HX
BEKO TECHNOLOGIES B.V.	,4703RB
Beltech BV	,5657EE
Bema Kunststoffen BV	,4301RC
Bemet International B.V.	,3905KV
Bender A.M. BV	,3905KZ
Benelux Scientific BV	,4051AP
Bestronics BV	,5503LT
Biesterfeld Plastic Benelux BV	,4104AV
BKB Precision	,5692EG
BKL Engineering B.V.	,5674VM
BMP Benelux BV	,3743KN
Bodycote Hardingscentrum BV	,7333PA
Bodycote Vacuum Brazing Diemen	,1112AS
Boers & Co FijnMetaal Groep B.V.	,3125BD
Bond voor Materialenkennis	,5612CJ
Bosch Rexroth B.V.	,5281RV
BOY Benelux	,4817ZG
Brabant Engineering bv	,5684PH
Brainport Industries Coöperatie U.A.	,5611AZ
Branson Ultrasonics BV	,3755BS
Brecon Cleanroom Systems B.V.	,5026SP
Bronkhorst High-Tech BV	,3905NW
Bruns bv	,5571CR
CAD2M	,7007CJ
Cadmes BV	,7602KL
Canon Nederland NV	,5216TV
cards PLM Solutions	,5684PL
Castrol Industrial	,3198NA
Celanese Sales Netherlands B.V.	,1077ZX
Cellro B.V.	,3905PR
Cematec Engineering bv	,4705RR
Ceratec Technical Ceramics BV	,4191NZ
CNC-Consult & Automation BV	,5221CK
Colorex Master Batch BV	,5705CB
Controllab Products B.V.	,7521AN
Cothink BV	,3851ST
Croonwolter&dros; B.V.	,5652AA
Custom Special Tools BV	,5047ST
CZL Tilburg BV	,5047ST
D&M; Vacuümsystemen BV	,6021PR
DAHANAN | mould concepts	,7091EP
DARE!!	,3447GX
DCD TECHNOLOGY BV	,5633AC
Dekracoat BV	,5684PL
DeltaPatents BV	,5611ZL
DEMCON	,7525PH
Den Boer Baking Systems BV	,7722RR
Detect99	,5612AJ
DH Industries BV	,5692EB
Diamond Kimberlit BV	,1327CB
DIS Sensors	,3763LZ
Distrupol BV	,3336LH
Dixi Polytool BV	,4033BT
DMG MORI Netherlands B.V.	,3903LA
Doeko BV	,6551AK
Dormac CNC Solutions	,1648HG
DPI	,5667KV
Duits-Nederlandse Handelskamer (DNHK)	,2585EC
Dutch-Portugal Trading CV	,5131AP
Dutch Precision Technology [DPT]	,3439NJ
Dutch Society for Precision Engineering DSPE	,5656AE
DVC machinevision b.v.	,4817ZK
Dymato BV	,3905NV
EMCMCC	,4812KB
EMS Benelux B.V.	,6199AE
ENCOMA cnc solutions B.V.	,6002EK
ENGEL BENELUX BV	,3992AL
EPLAN Software & Services B.V.	,6902PA
ERIKS Schoonhoven (BU aandrijftechniek)	,2871RM
Ertec BV	,5673BN
Essentra Extrusion B.V. 	,9285TV
Etchform BV	,1223RE
Euro-Techniek Eindhoven BV	,5503LP
Exspectrum Laser System Engineering	,2741PG
FARO Benelux B.V.	,5656AG
Fatec Engineering	,2661RV
FAULHABER Benelux B.V.	,5656AE
Fawic BV	,7609RD
Federatie Aandrijven en Automatiseren	,4207HB
FenS bv.	,4462GP
FERRO TECHNIEK BV	,7011AT
Festo BV	,2627AN
FMI HighTech Solutions	,5405AH
Formatec Ceramics BV	,5051DV
Formit BV	,5554GM
Frencken Europe BV	,5652AJ
FreroTech BV	,6181MA
Gain Automation Technology	,5684PH
Geelen Project Support	,5922AD
Gelderblom CNC Machines B.V.	,3991CR
Geopoints	,3991AT
Germefa BV Fijnmechanische Precisietechniek	,1812RE
Geton BV	,5503LN
Gibac Chemie BV	,7327JZ
Gibas Numeriek B.V.	,3861SN
Gibas Automation B.V.	,3861SN
GL Plastics B.V.	,5692EP
Glynwed Benelux B.V.	,4797SG
Goudsmit Magnetics Group BV	,5582HA
Greenock	,6716BS
Greijn Form Technics BV	,5953NA
Groneman BV	,7554TV
Guhring Nederland BV	,5651GG
Hagro Precisie BV	,5374CM
HARTECH meet- & testapparatuur bv 	,1521RD
Hauck Heat Treatment Eindhoven B.V.	,5651GG
Hegin Metalfinishing BV	,8181BG
HEIDENHAIN NEDERLAND B.V.	,6716BM
Helioment B.V.	,5508DR
Helmut Fischer Meettechniek BV	,5627GB
Helvoet Rubber & Plastic Technologies BV	,5015TA
Hembrug Machine Tools	,2031BJ
Henkel Nederland BV - Adhesive Technologies	,3432NZ
Hexagon Manufacturing Intelligence	,5581WJ
HFI B.V.	,7141CX
Hittech Group	,2497GB
HIWIN Nederland	,3892AJ
HMI Moulds	,5061JR
Ter Hoek Vonkerosie Rijssen B.V.	,7463PN
Holland Innovative	,5656AE
Holmatro N.V.	,4940AB
Van der Hoorn	,5663PA
Hositrad Vacuum Technology	,3871MV
Houdijk Holland	,3133KS
Houmaro Special Tools BV	,2984AG
HP Metec	,3902HN
HSV	,6716AA
HTR BV Rubber & Foam (Hoogerdijk BV Technical Rubber)	,5633AA
Hydro	,5151RW
HZ Solutions BV	,5081CT
IAI industrial systems B.V.	,5504DE
IBS Precision Engineering BV	,5633AD
ifm electronic b.v.	,3843GA
Nippon Thompson Europe B.V.	,3047AN
ILT Fineworks BV	,7547TG
IMS 	,7601PR
Infoland	,5504DW
Injection Point	,5066GJ
Innostrument BV	,2992SB
Innovar Cleaning Control	,5627BZ
Innplate Surface Technology	,5692AN
Interflow bv	,1771SP
Ionbond Netherlands BV	,5928LL
IPL Advies bv	,5656AE
IPS Technology	,5624CL
Isotron Systems B.V.	,5232BD
ITB Precisietechniek	,5281RN
ITEQ Engineering B.V.	,3861PV
j.j. bos b.v.	,2809PH
Janssen Precision Engineering BV	,6199AG
JEOL (Europe) BV	,2153PH
Jeveka	,1362JL
Job Precision	,5555XL
JTAG Technologies	,5612AN
Kamer van Koophandel	,5612AB
De Kat Tooling & Moulding BV	,6882AT
KEMBIT	,5656AE
Kessel Machinefabriek	,5462GH
KeyTec Netherlands B.V.	,6136AC
Kistler BeNeLux	,3755BS
Kjerner BV	,4141HV
KMWE	,5653LC
Koning & Hartman B.V.	,1101AX
Korrels BV	,8191JH
KPSS	,6021AC
KraussMaffei Group Benelux N.V.	,4817ZG
KSA Kraai Sales Activities	,5331DB
KSM Benelux (Keulen BV)	,6365AC
Kurval BV	,2153GD
Kusters Goumans BV	,5741PM
Kusters Precision Parts	,5349AX
Lamers Tooling BV	,5932EB
Landes High End Machining BV.	,7825VL
Landré	,3991CT
Lankhorst Engineered Products BV	,8607AD
LAPROCON 	,5591MT
Larsen & Buhl	,3899AR
Laser 2000 Benelux CV	,3645GV
Laser Technology Janssen BV	,6604LM
Lasertec B.V.	,2992LA
Laumans Techniek B.V.	,6003DC
Leering Hengelo BV	,7454TC
Lencon BV	,2201CZ
Leonhard Kurz Benelux BV	,6534AJ
Leves Fijnmetaal B.V.  a Blok Group company	,5711CT
Lighthouse Worldwide Solutions Benelux BV	,6657KD
Lightmotif	,7521PR
LM Systems BV	,3905TG
LouwersHanique BV	,5527AH
LUMC Instrumentele Zaken - Ontwikkeling	,2333ZC
Maan Special Products	,8102HR
MADERN INTERNATIONAL B.V.	,3133KX
MAGION	,2491BK
Magistor stralen & verspanen	,7461TP
Magnet e Motion BV	,5657EA
Manders Automation BV	,5803AN
ManualMaster	,3355SK
Mareco Prototyping BV	,5928PT
Mareco Kunststoffen BV	,5928PT
Marvo Technologies BV	,5048CK
Masevon Technology Group BV	,7773NM
MathWorks	,5652XR
MAVOM BV	,2404CD
maxon motor benelux bv	,7545PR
Maypa Technological Innovations B.V.	,5111CA
Medanco BV	,5504DC
MERSEN Benelux BV	,3113AR
Metel BV	,5145RJ
Mevi group	,5706ST
Meyer Burger (Netherlands) B.V.	,5657EB
MI-Partners BV	,5652AM
Micro Turbine Technology BV (MTT)	,5633AE
MicronParts BV	,2908KC
Van Mierlo Ingenieursbureau B.V.	,5623EX
Mitutoyo BeNeLux	,3905KW
MK Products BV	,7609NN
MKG Nederland BV	,7556PD
Molenaar Optics VOF	,3707SH
MTA B.V.	,5705DN
MTRC Special Plating bv	,5705CL
MTSA Technopower B.V.	,6827AT
Multivalent Plating & Etching	,5692AN
NB Europe B.V.	,2153GK
Nederlands Instituut voor Lastechniek	,2719EK
Nefratech Edm Center	,6002NK
MKS - Newport B.V.	,3555XS
Nijdra Group	,1462VM
Nordson Advanced Technology Group	,6226BD
Nossin Fijnmechanische Industrie	,5741RR
NOVIUM Composites	,6652GK
NOVU (Nederlandse Orde van Uitvinders)	,3527VX
NRK PVT kunststofverwerkers	,2491AK
NTS-Group	,5652AM
NVC Nederlands Verpakkingscentrum	,2801AK
NVDO	,3990DC
Océ	,5900MA
Ocean Optics	,6921EW
Oerlikon Balzers Coating Benelux	,4004KD
Olympus Nederland B.V.	,2353GA
Omron Electronics BV / Omron Europe BV - R&D;	,5234GM
Oude Reimer BV	,1212BR
PaperFoam BV	,3771ND
Parhelia B.V.	,2908LH
Parker Hannifin	,7570AH
Perfect Coat BV	,5986PG
